Phone timestamp;RR-interval [ms]
2023-08-07T14:56:37.425;781
2023-08-07T14:56:38.206;759
2023-08-07T14:56:38.965;762
2023-08-07T14:56:39.727;757
2023-08-07T14:56:40.484;762
2023-08-07T14:56:41.246;716
2023-08-07T14:56:41.962;729
2023-08-07T14:56:42.691;703
2023-08-07T14:56:43.394;667
2023-08-07T14:56:44.061;728
2023-08-07T14:56:44.789;694
2023-08-07T14:56:45.483;671
2023-08-07T14:56:46.154;293
2023-08-07T14:56:46.447;310
2023-08-07T14:56:46.757;449
2023-08-07T14:56:47.206;457
2023-08-07T14:56:47.663;457
2023-08-07T14:56:48.120;454
2023-08-07T14:56:48.574;849
2023-08-07T14:56:49.423;629
2023-08-07T14:56:50.052;627
2023-08-07T14:56:50.679;669
2023-08-07T14:56:51.348;725
2023-08-07T14:56:52.073;755
2023-08-07T14:56:52.828;752
2023-08-07T14:56:53.580;686
2023-08-07T14:56:54.266;687
2023-08-07T14:56:54.953;725
2023-08-07T14:56:55.678;809
2023-08-07T14:56:56.487;845
2023-08-07T14:56:57.332;793
2023-08-07T14:56:58.125;729
2023-08-07T14:56:58.854;741
2023-08-07T14:56:59.595;847
2023-08-07T14:57:00.442;868
2023-08-07T14:57:01.310;854
2023-08-07T14:57:02.164;798
2023-08-07T14:57:02.962;796
2023-08-07T14:57:03.758;874
2023-08-07T14:57:04.632;910
2023-08-07T14:57:05.542;895
2023-08-07T14:57:06.437;804
2023-08-07T14:57:07.241;777
2023-08-07T14:57:08.018;847
2023-08-07T14:57:08.865;899
2023-08-07T14:57:09.764;859
2023-08-07T14:57:10.623;793
2023-08-07T14:57:11.416;757
2023-08-07T14:57:12.173;775
2023-08-07T14:57:12.948;866
2023-08-07T14:57:13.814;928
2023-08-07T14:57:14.742;946
2023-08-07T14:57:15.688;864
2023-08-07T14:57:16.552;787
2023-08-07T14:57:17.339;786
2023-08-07T14:57:18.125;857
2023-08-07T14:57:18.982;937
2023-08-07T14:57:19.919;949
2023-08-07T14:57:20.868;858
2023-08-07T14:57:21.726;798
2023-08-07T14:57:22.524;863
2023-08-07T14:57:23.387;944
2023-08-07T14:57:24.331;953
2023-08-07T14:57:25.284;851
2023-08-07T14:57:26.135;818
2023-08-07T14:57:26.953;856
2023-08-07T14:57:27.809;917
2023-08-07T14:57:28.726;977
2023-08-07T14:57:29.703;858
2023-08-07T14:57:30.561;776
2023-08-07T14:57:31.337;787
2023-08-07T14:57:32.124;837
2023-08-07T14:57:32.961;915
2023-08-07T14:57:33.876;1017
2023-08-07T14:57:34.893;810
2023-08-07T14:57:35.703;810
2023-08-07T14:57:36.513;845
2023-08-07T14:57:37.358;924
2023-08-07T14:57:38.282;996
2023-08-07T14:57:39.278;864
2023-08-07T14:57:40.142;811
2023-08-07T14:57:40.953;838
2023-08-07T14:57:41.791;912
2023-08-07T14:57:42.703;976
2023-08-07T14:57:43.679;986
2023-08-07T14:57:44.665;877
2023-08-07T14:57:45.542;827
2023-08-07T14:57:46.369;845
2023-08-07T14:57:47.214;925
2023-08-07T14:57:48.139;983
2023-08-07T14:57:49.122;934
2023-08-07T14:57:50.056;813
2023-08-07T14:57:50.869;805
2023-08-07T14:57:51.674;849
2023-08-07T14:57:52.523;903
2023-08-07T14:57:53.426;905
2023-08-07T14:57:54.331;838
2023-08-07T14:57:55.169;816
2023-08-07T14:57:55.985;854
2023-08-07T14:57:56.839;915
2023-08-07T14:57:57.754;932
2023-08-07T14:57:58.686;851
2023-08-07T14:57:59.537;774
2023-08-07T14:58:00.311;771
2023-08-07T14:58:01.082;795
2023-08-07T14:58:01.877;867
2023-08-07T14:58:02.744;979
2023-08-07T14:58:03.723;991
2023-08-07T14:58:04.714;886
2023-08-07T14:58:05.600;829
2023-08-07T14:58:06.429;860
2023-08-07T14:58:07.289;937
2023-08-07T14:58:08.226;989
2023-08-07T14:58:09.215;1002
2023-08-07T14:58:10.217;898
2023-08-07T14:58:11.115;869
2023-08-07T14:58:11.984;922
2023-08-07T14:58:12.906;960
2023-08-07T14:58:13.866;969
2023-08-07T14:58:14.835;898
2023-08-07T14:58:15.733;829
2023-08-07T14:58:16.562;843
2023-08-07T14:58:17.405;879
2023-08-07T14:58:18.284;925
2023-08-07T14:58:19.209;943
2023-08-07T14:58:20.152;842
2023-08-07T14:58:20.994;810
2023-08-07T14:58:21.804;847
2023-08-07T14:58:22.651;914
2023-08-07T14:58:23.565;911
2023-08-07T14:58:24.476;906
2023-08-07T14:58:25.382;823
2023-08-07T14:58:26.205;813
2023-08-07T14:58:27.018;855
2023-08-07T14:58:27.873;896
2023-08-07T14:58:28.769;917
2023-08-07T14:58:29.686;913
2023-08-07T14:58:30.599;816
2023-08-07T14:58:31.415;816
2023-08-07T14:58:32.231;874
2023-08-07T14:58:33.105;906
2023-08-07T14:58:34.011;926
2023-08-07T14:58:34.937;848
2023-08-07T14:58:35.785;836
2023-08-07T14:58:36.621;867
2023-08-07T14:58:37.488;919
2023-08-07T14:58:38.407;919
2023-08-07T14:58:39.326;871
2023-08-07T14:58:40.197;816
2023-08-07T14:58:41.013;840
2023-08-07T14:58:41.853;921
2023-08-07T14:58:42.774;926
2023-08-07T14:58:43.700;903
2023-08-07T14:58:44.603;818
2023-08-07T14:58:45.421;832
2023-08-07T14:58:46.253;876
2023-08-07T14:58:47.129;902
2023-08-07T14:58:48.031;905
2023-08-07T14:58:48.936;812
2023-08-07T14:58:49.748;788
2023-08-07T14:58:50.536;833
2023-08-07T14:58:51.369;896
2023-08-07T14:58:52.265;887
2023-08-07T14:58:53.152;869
2023-08-07T14:58:54.021;790
2023-08-07T14:58:54.811;802
2023-08-07T14:58:55.613;837
2023-08-07T14:58:56.450;864
2023-08-07T14:58:57.314;884
2023-08-07T14:58:58.198;821
2023-08-07T14:58:59.019;766
2023-08-07T14:58:59.785;732
2023-08-07T14:59:00.517;750
2023-08-07T14:59:01.267;798
2023-08-07T14:59:02.065;855
2023-08-07T14:59:02.920;870
2023-08-07T14:59:03.790;857
2023-08-07T14:59:04.647;777
2023-08-07T14:59:05.424;758
2023-08-07T14:59:06.182;771
2023-08-07T14:59:06.953;832
2023-08-07T14:59:07.785;859
2023-08-07T14:59:08.644;889
2023-08-07T14:59:09.533;802
2023-08-07T14:59:10.335;794
2023-08-07T14:59:11.129;816
2023-08-07T14:59:11.945;866
2023-08-07T14:59:12.811;912
2023-08-07T14:59:13.723;907
2023-08-07T14:59:14.630;814
2023-08-07T14:59:15.444;815
2023-08-07T14:59:16.259;847
2023-08-07T14:59:17.106;878
2023-08-07T14:59:17.984;891
2023-08-07T14:59:18.875;873
2023-08-07T14:59:19.748;805
2023-08-07T14:59:20.553;824
2023-08-07T14:59:21.377;860
2023-08-07T14:59:22.237;885
2023-08-07T14:59:23.122;878
2023-08-07T14:59:24.000;821
2023-08-07T14:59:24.821;791
2023-08-07T14:59:25.612;827
2023-08-07T14:59:26.439;861
2023-08-07T14:59:27.300;889
2023-08-07T14:59:28.189;919
2023-08-07T14:59:29.108;837
2023-08-07T14:59:29.945;840
2023-08-07T14:59:30.785;879
2023-08-07T14:59:31.664;889
2023-08-07T14:59:32.553;870
2023-08-07T14:59:33.423;812
2023-08-07T14:59:34.235;841
2023-08-07T14:59:35.076;882
2023-08-07T14:59:35.958;898
2023-08-07T14:59:36.856;858
2023-08-07T14:59:37.714;813
2023-08-07T14:59:38.527;851
2023-08-07T14:59:39.378;891
2023-08-07T14:59:40.269;890
2023-08-07T14:59:41.159;885
2023-08-07T14:59:42.044;807
2023-08-07T14:59:42.851;814
2023-08-07T14:59:43.665;853
2023-08-07T14:59:44.518;900
2023-08-07T14:59:45.418;929
2023-08-07T14:59:46.347;935
2023-08-07T14:59:47.282;852
2023-08-07T14:59:48.134;863
2023-08-07T14:59:48.997;910
2023-08-07T14:59:49.907;952
2023-08-07T14:59:50.859;881
2023-08-07T14:59:51.740;808
2023-08-07T14:59:52.548;767
2023-08-07T14:59:53.315;785
2023-08-07T14:59:54.100;829
2023-08-07T14:59:54.929;896
2023-08-07T14:59:55.825;914
2023-08-07T14:59:56.739;872
2023-08-07T14:59:57.611;802
2023-08-07T14:59:58.413;817
2023-08-07T14:59:59.230;849
2023-08-07T15:00:00.079;905
2023-08-07T15:00:00.984;926
2023-08-07T15:00:01.910;879
2023-08-07T15:00:02.789;830
2023-08-07T15:00:03.619;888
2023-08-07T15:00:04.507;928
2023-08-07T15:00:05.435;934
2023-08-07T15:00:06.369;865
2023-08-07T15:00:07.234;831
2023-08-07T15:00:08.065;872
2023-08-07T15:00:08.937;916
2023-08-07T15:00:09.853;966
2023-08-07T15:00:10.819;941
2023-08-07T15:00:11.760;840
2023-08-07T15:00:12.600;847
2023-08-07T15:00:13.447;909
2023-08-07T15:00:14.356;952
2023-08-07T15:00:15.308;950
2023-08-07T15:00:16.258;872
2023-08-07T15:00:17.130;844
2023-08-07T15:00:17.974;907
2023-08-07T15:00:18.881;947
2023-08-07T15:00:19.828;948
2023-08-07T15:00:20.776;911
2023-08-07T15:00:21.687;835
2023-08-07T15:00:22.522;845
2023-08-07T15:00:23.367;874
2023-08-07T15:00:24.241;938
2023-08-07T15:00:25.179;950
2023-08-07T15:00:26.129;884
2023-08-07T15:00:27.013;836
2023-08-07T15:00:27.849;871
2023-08-07T15:00:28.720;919
2023-08-07T15:00:29.639;930
2023-08-07T15:00:30.569;916
2023-08-07T15:00:31.485;832
2023-08-07T15:00:32.317;851
2023-08-07T15:00:33.168;907
2023-08-07T15:00:34.075;917
2023-08-07T15:00:34.992;895
2023-08-07T15:00:35.887;818
2023-08-07T15:00:36.705;825
2023-08-07T15:00:37.530;890
2023-08-07T15:00:38.420;943
2023-08-07T15:00:39.363;954
2023-08-07T15:00:40.317;858
2023-08-07T15:00:41.175;854
2023-08-07T15:00:42.029;924
2023-08-07T15:00:42.953;956
2023-08-07T15:00:43.909;924
2023-08-07T15:00:44.833;892
2023-08-07T15:00:45.725;829
2023-08-07T15:00:46.554;867
2023-08-07T15:00:47.421;906
2023-08-07T15:00:48.327;902
2023-08-07T15:00:49.229;830
2023-08-07T15:00:50.059;762
2023-08-07T15:00:50.821;759
2023-08-07T15:00:51.580;794
2023-08-07T15:00:52.374;848
2023-08-07T15:00:53.222;892
2023-08-07T15:00:54.114;892
2023-08-07T15:00:55.006;817
2023-08-07T15:00:55.823;834
2023-08-07T15:00:56.657;898
2023-08-07T15:00:57.555;920
2023-08-07T15:00:58.475;912
2023-08-07T15:00:59.387;825
2023-08-07T15:01:00.212;831
2023-08-07T15:01:01.043;878
2023-08-07T15:01:01.921;920
2023-08-07T15:01:02.841;955
2023-08-07T15:01:03.796;844
2023-08-07T15:01:04.640;838
2023-08-07T15:01:05.478;874
2023-08-07T15:01:06.352;921
2023-08-07T15:01:07.273;919
2023-08-07T15:01:08.192;873
2023-08-07T15:01:09.065;809
2023-08-07T15:01:09.874;827
2023-08-07T15:01:10.701;857
2023-08-07T15:01:11.558;894
2023-08-07T15:01:12.452;917
2023-08-07T15:01:13.369;856
2023-08-07T15:01:14.225;820
2023-08-07T15:01:15.045;847
2023-08-07T15:01:15.892;881
2023-08-07T15:01:16.773;885
2023-08-07T15:01:17.658;873
2023-08-07T15:01:18.531;802
2023-08-07T15:01:19.333;811
2023-08-07T15:01:20.144;858
2023-08-07T15:01:21.002;873
2023-08-07T15:01:21.875;880
2023-08-07T15:01:22.755;818
2023-08-07T15:01:23.573;797
2023-08-07T15:01:24.370;831
2023-08-07T15:01:25.201;867
2023-08-07T15:01:26.068;889
2023-08-07T15:01:26.957;887
2023-08-07T15:01:27.844;800
2023-08-07T15:01:28.644;804
2023-08-07T15:01:29.448;836
2023-08-07T15:01:30.284;870
2023-08-07T15:01:31.154;894
2023-08-07T15:01:32.048;827
2023-08-07T15:01:32.875;811
2023-08-07T15:01:33.686;833
2023-08-07T15:01:34.519;865
2023-08-07T15:01:35.384;870
2023-08-07T15:01:36.254;844
2023-08-07T15:01:37.098;797
2023-08-07T15:01:37.895;743
2023-08-07T15:01:38.638;758
2023-08-07T15:01:39.396;774
2023-08-07T15:01:40.170;821
2023-08-07T15:01:40.991;852
2023-08-07T15:01:41.843;860
2023-08-07T15:01:42.703;797
2023-08-07T15:01:43.500;811
2023-08-07T15:01:44.311;871
2023-08-07T15:01:45.182;891
2023-08-07T15:01:46.073;882
2023-08-07T15:01:46.955;828
2023-08-07T15:01:47.783;808
2023-08-07T15:01:48.591;859
2023-08-07T15:01:49.450;895
2023-08-07T15:01:50.345;928
2023-08-07T15:01:51.273;934
2023-08-07T15:01:52.207;843
2023-08-07T15:01:53.050;853
2023-08-07T15:01:53.903;911
2023-08-07T15:01:54.814;918
2023-08-07T15:01:55.732;925
2023-08-07T15:01:56.657;929
2023-08-07T15:01:57.586;827
2023-08-07T15:01:58.413;825
2023-08-07T15:01:59.238;857
2023-08-07T15:02:00.095;876
2023-08-07T15:02:00.971;901
2023-08-07T15:02:01.872;910
2023-08-07T15:02:02.782;843
2023-08-07T15:02:03.625;814
2023-08-07T15:02:04.439;858
2023-08-07T15:02:05.297;905
2023-08-07T15:02:06.202;892
2023-08-07T15:02:07.094;917
2023-08-07T15:02:08.011;821
2023-08-07T15:02:08.832;821
2023-08-07T15:02:09.653;838
2023-08-07T15:02:10.491;887
2023-08-07T15:02:11.378;903
2023-08-07T15:02:12.281;908
2023-08-07T15:02:13.189;827
2023-08-07T15:02:14.016;812
2023-08-07T15:02:14.828;841
2023-08-07T15:02:15.669;888
2023-08-07T15:02:16.557;918
2023-08-07T15:02:17.475;905
2023-08-07T15:02:18.380;837
2023-08-07T15:02:19.217;836
2023-08-07T15:02:20.053;866
2023-08-07T15:02:20.919;905
2023-08-07T15:02:21.824;904
2023-08-07T15:02:22.728;846
2023-08-07T15:02:23.574;809
2023-08-07T15:02:24.383;830
2023-08-07T15:02:25.213;878
2023-08-07T15:02:26.091;899
2023-08-07T15:02:26.990;904
2023-08-07T15:02:27.894;833
2023-08-07T15:02:28.727;820
2023-08-07T15:02:29.547;855
2023-08-07T15:02:30.402;877
2023-08-07T15:02:31.279;886
2023-08-07T15:02:32.165;845
2023-08-07T15:02:33.010;799
2023-08-07T15:02:33.809;736
2023-08-07T15:02:34.545;766
2023-08-07T15:02:35.311;798
2023-08-07T15:02:36.109;862
2023-08-07T15:02:36.971;889
2023-08-07T15:02:37.860;890
2023-08-07T15:02:38.750;813
2023-08-07T15:02:39.563;809
2023-08-07T15:02:40.372;856
2023-08-07T15:02:41.228;905
2023-08-07T15:02:42.133;923
2023-08-07T15:02:43.056;896
2023-08-07T15:02:43.952;829
2023-08-07T15:02:44.781;830
2023-08-07T15:02:45.611;895
2023-08-07T15:02:46.506;902
2023-08-07T15:02:47.408;912
2023-08-07T15:02:48.320;867
2023-08-07T15:02:49.187;806
2023-08-07T15:02:49.993;833
2023-08-07T15:02:50.826;890
2023-08-07T15:02:51.716;919
2023-08-07T15:02:52.635;927
2023-08-07T15:02:53.562;840
2023-08-07T15:02:54.402;833
2023-08-07T15:02:55.235;880
2023-08-07T15:02:56.115;918
2023-08-07T15:02:57.033;936
2023-08-07T15:02:57.969;950
2023-08-07T15:02:58.919;854
2023-08-07T15:02:59.773;855
2023-08-07T15:03:00.628;913
2023-08-07T15:03:01.541;926
2023-08-07T15:03:02.467;954
2023-08-07T15:03:03.421;931
2023-08-07T15:03:04.352;844
2023-08-07T15:03:05.196;854
2023-08-07T15:03:06.050;920
2023-08-07T15:03:06.970;974
2023-08-07T15:03:07.944;980
2023-08-07T15:03:08.924;895
2023-08-07T15:03:09.819;849
2023-08-07T15:03:10.668;906
2023-08-07T15:03:11.574;946
2023-08-07T15:03:12.520;941
2023-08-07T15:03:13.461;898
2023-08-07T15:03:14.359;823
2023-08-07T15:03:15.182;844
2023-08-07T15:03:16.026;880
2023-08-07T15:03:16.906;924
2023-08-07T15:03:17.830;931
2023-08-07T15:03:18.761;880
2023-08-07T15:03:19.641;830
2023-08-07T15:03:20.471;856
2023-08-07T15:03:21.327;896
2023-08-07T15:03:22.223;910
2023-08-07T15:03:23.133;898
2023-08-07T15:03:24.031;834
2023-08-07T15:03:24.865;818
2023-08-07T15:03:25.683;851
2023-08-07T15:03:26.534;871
2023-08-07T15:03:27.405;894
2023-08-07T15:03:28.299;834
2023-08-07T15:03:29.133;791
2023-08-07T15:03:29.924;734
2023-08-07T15:03:30.658;752
2023-08-07T15:03:31.410;772
2023-08-07T15:03:32.182;841
2023-08-07T15:03:33.023;884
2023-08-07T15:03:33.907;896
2023-08-07T15:03:34.803;833
2023-08-07T15:03:35.636;809
2023-08-07T15:03:36.445;830
2023-08-07T15:03:37.275;861
2023-08-07T15:03:38.136;860
2023-08-07T15:03:38.996;840
2023-08-07T15:03:39.836;789
2023-08-07T15:03:40.625;801
2023-08-07T15:03:41.426;840
2023-08-07T15:03:42.266;873
2023-08-07T15:03:43.139;895
2023-08-07T15:03:44.034;849
2023-08-07T15:03:44.883;807
2023-08-07T15:03:45.690;834
2023-08-07T15:03:46.524;867
2023-08-07T15:03:47.391;882
2023-08-07T15:03:48.273;889
2023-08-07T15:03:49.162;826
2023-08-07T15:03:49.988;811
2023-08-07T15:03:50.799;832
2023-08-07T15:03:51.631;889
2023-08-07T15:03:52.520;903
2023-08-07T15:03:53.423;896
2023-08-07T15:03:54.319;820
2023-08-07T15:03:55.139;817
2023-08-07T15:03:55.956;855
2023-08-07T15:03:56.811;904
2023-08-07T15:03:57.715;918
2023-08-07T15:03:58.633;854
2023-08-07T15:03:59.487;816
2023-08-07T15:04:00.303;835
2023-08-07T15:04:01.138;862
2023-08-07T15:04:02.000;888
2023-08-07T15:04:02.888;926
2023-08-07T15:04:03.814;827
2023-08-07T15:04:04.641;812
2023-08-07T15:04:05.453;830
2023-08-07T15:04:06.283;862
2023-08-07T15:04:07.145;887
2023-08-07T15:04:08.032;888
2023-08-07T15:04:08.920;798
2023-08-07T15:04:09.718;809
2023-08-07T15:04:10.527;839
2023-08-07T15:04:11.366;855
2023-08-07T15:04:12.221;857
2023-08-07T15:04:13.078;830
2023-08-07T15:04:13.908;778
2023-08-07T15:04:14.686;776
2023-08-07T15:04:15.462;806
2023-08-07T15:04:16.268;835
2023-08-07T15:04:17.103;818
2023-08-07T15:04:17.921;773
2023-08-07T15:04:18.694;727
2023-08-07T15:04:19.421;742
2023-08-07T15:04:20.163;764
2023-08-07T15:04:20.927;806
2023-08-07T15:04:21.733;851
2023-08-07T15:04:22.584;873
2023-08-07T15:04:23.457;829
2023-08-07T15:04:24.286;786
2023-08-07T15:04:25.072;787
2023-08-07T15:04:25.859;823
2023-08-07T15:04:26.682;845
2023-08-07T15:04:27.527;885
2023-08-07T15:04:28.412;814
2023-08-07T15:04:29.226;808
2023-08-07T15:04:30.034;833
2023-08-07T15:04:30.867;891
2023-08-07T15:04:31.758;903
2023-08-07T15:04:32.661;892
2023-08-07T15:04:33.553;814
2023-08-07T15:04:34.367;793
2023-08-07T15:04:35.160;823
2023-08-07T15:04:35.983;865
2023-08-07T15:04:36.848;898
2023-08-07T15:04:37.746;922
2023-08-07T15:04:38.668;892
2023-08-07T15:04:39.560;816
2023-08-07T15:04:40.376;831
2023-08-07T15:04:41.207;875
2023-08-07T15:04:42.082;888
2023-08-07T15:04:42.970;926
2023-08-07T15:04:43.896;884
2023-08-07T15:04:44.780;827
2023-08-07T15:04:45.607;847
2023-08-07T15:04:46.454;897
2023-08-07T15:04:47.351;940
2023-08-07T15:04:48.291;976
2023-08-07T15:04:49.267;962
2023-08-07T15:04:50.229;865
2023-08-07T15:04:51.094;805
2023-08-07T15:04:51.899;845
2023-08-07T15:04:52.744;881
2023-08-07T15:04:53.625;894
2023-08-07T15:04:54.519;911
2023-08-07T15:04:55.430;846
2023-08-07T15:04:56.276;811
2023-08-07T15:04:57.087;826
2023-08-07T15:04:57.913;859
2023-08-07T15:04:58.772;887
2023-08-07T15:04:59.659;896
2023-08-07T15:05:00.555;899
2023-08-07T15:05:01.454;844
2023-08-07T15:05:02.298;818
2023-08-07T15:05:03.116;885
2023-08-07T15:05:04.001;869
2023-08-07T15:05:04.870;832
2023-08-07T15:05:05.702;783
2023-08-07T15:05:06.485;797
2023-08-07T15:05:07.282;848
2023-08-07T15:05:08.130;879
2023-08-07T15:05:09.009;880
2023-08-07T15:05:09.889;854
2023-08-07T15:05:10.743;799
2023-08-07T15:05:11.542;814
2023-08-07T15:05:12.356;895
2023-08-07T15:05:13.251;957
